CpdClass1	CpdClass2	ChemSim
GF-I-1	GF-I-1	0.7272727272727273
GF-I-1	GF-I-1	0.7032967032967034
GF-I-1	GF-I-1	0.7191011235955056
GF-I-1	GF-I-1	0.673469387755102
GF-I-1	GF-I-1	0.6808510638297872
GF-I-1	GF-I-1	0.6407766990291263
GF-I-1	GF-I-1	0.7021276595744681
GF-I-1	GF-I-1	0.7111111111111111
GF-I-1	GF-I-1	0.7272727272727273
GF-I-1	GF-I-1	0.7111111111111111
GF-I-1	GF-I-1	0.6736842105263158
GF-I-1	GF-I-1	0.6630434782608695
GF-I-1	GF-I-1	0.6236559139784946
GF-I-1	GF-I-1	0.5957446808510638
GF-I-1	GF-I-1	0.6344086021505376
GF-I-1	GF-I-1	0.6
GF-I-1	GF-I-1	0.6276595744680851
GF-I-1	GF-I-1	0.5656565656565656
GF-I-1	GF-I-1	0.59375
GF-I-1	GF-I-1	0.5833333333333334
GF-I-1	GF-I-1	0.6373626373626373
GF-I-1	GF-I-1	0.5714285714285714
GF-I-1	GF-I-1	0.56
GF-I-1	GF-I-1	0.6170212765957447
GF-I-1	GF-I-1	0.6041666666666666
GF-I-1	GF-I-1	0.5555555555555556
GF-I-1	GF-I-1	0.6631578947368421
GF-I-1	GF-I-1	0.6494845360824743
GF-I-1	GF-I-1	0.5294117647058824
GF-I-1	GF-I-1	0.5046728971962616
GF-I-1	GF-I-1	0.7272727272727273
GF-I-1	GF-I-1	0.7640449438202247
GF-I-1	GF-I-1	0.7816091954022989
GF-I-1	GF-I-1	0.6938775510204082
GF-I-1	GF-I-1	0.7391304347826086
GF-I-1	GF-I-1	0.6601941747572816
GF-I-1	GF-I-1	0.723404255319149
GF-I-1	GF-I-1	0.7727272727272727
GF-I-1	GF-I-1	0.7906976744186046
GF-I-1	GF-I-1	0.7727272727272727
GF-I-1	GF-I-1	0.75
GF-I-1	GF-I-1	0.631578947368421
GF-I-1	GF-I-1	0.6630434782608695
GF-I-1	GF-I-1	0.6
GF-I-1	GF-I-1	0.6382978723404256
