CpdClass1	CpdClass2	ChemSim
GF-I-1	GF-I-1	0.797752808988764
GF-I-1	GF-I-1	0.7553191489361702
GF-I-1	GF-I-1	0.7717391304347826
GF-I-1	GF-I-1	0.7378640776699029
GF-I-1	GF-I-1	0.7319587628865979
GF-I-1	GF-I-1	0.7169811320754716
GF-I-1	GF-I-1	0.76
GF-I-1	GF-I-1	0.797752808988764
GF-I-1	GF-I-1	0.797752808988764
GF-I-1	GF-I-1	0.797752808988764
GF-I-1	GF-I-1	0.7171717171717171
GF-I-1	GF-I-1	0.7777777777777778
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.7052631578947368
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6701030927835051
GF-I-1	GF-I-1	0.6078431372549019
GF-I-1	GF-I-1	0.7708333333333334
GF-I-1	GF-I-1	0.7894736842105263
GF-I-1	GF-I-1	0.6296296296296297
GF-I-1	GF-I-1	0.6126126126126126
GF-I-1	GF-I-1	0.797752808988764
GF-I-1	GF-I-1	0.8351648351648352
GF-I-1	GF-I-1	0.8539325842696629
GF-I-1	GF-I-1	0.7075471698113207
GF-I-1	GF-I-1	0.8085106382978723
GF-I-1	GF-I-1	0.6880733944954128
GF-I-1	GF-I-1	0.7281553398058253
GF-I-1	GF-I-1	0.8620689655172413
GF-I-1	GF-I-1	0.8620689655172413
GF-I-1	GF-I-1	0.8620689655172413
GF-I-1	GF-I-1	0.7731958762886598
GF-I-1	GF-I-1	0.7802197802197802
GF-I-1	GF-I-1	0.7634408602150538
GF-I-1	GF-I-1	0.7083333333333334
GF-I-1	GF-I-1	0.7446808510638298
GF-I-1	GF-I-1	0.7446808510638298
GF-I-1	GF-I-1	0.6907216494845361
GF-I-1	GF-I-1	0.7083333333333334
GF-I-1	GF-I-1	0.6907216494845361
GF-I-1	GF-I-1	0.673469387755102
GF-I-1	GF-I-1	0.6907216494845361
GF-I-1	GF-I-1	0.673469387755102
GF-I-1	GF-I-1	0.673469387755102
GF-I-1	GF-I-1	0.6907216494845361
GF-I-1	GF-I-1	0.6907216494845361
GF-I-1	GF-I-1	0.6274509803921569
GF-I-1	GF-I-1	0.6699029126213593
GF-I-1	GF-I-1	0.7029702970297029
GF-I-1	GF-I-1	0.5478260869565217
GF-I-1	GF-I-1	0.5338983050847458
GF-I-1	GF-I-1	0.7553191489361702
GF-I-1	GF-I-1	0.8351648351648352
GF-I-1	GF-I-1	0.8085106382978723
GF-I-1	GF-I-1	0.6756756756756757
GF-I-1	GF-I-1	0.8421052631578947
GF-I-1	GF-I-1	0.6578947368421053
