CpdClass1	CpdClass2	BioSim
SM-C-R	SM-I-opened	0.9
SM-C-R	SM-I-opened	0.922
SM-C-R	SM-I-opened	0.819
SM-C-R	SM-I-opened	0.705
SM-C-R	SM-I-opened	0.9
SM-C-R	SM-I-opened	0.91
SM-C-R	SM-I-opened	0.883
SM-C-R	SM-I-opened	0.931
SM-C-R	SM-I-opened	0.859
SM-C-R	SM-I-opened	0.766
SM-C-R	SM-I-opened	0.882
SM-C-R	SM-I-opened	0.867
SM-C-R	SM-I-opened	0.9
SM-C-R	SM-I-opened	0.913
SM-C-R	SM-I-opened	0.798
SM-C-R	SM-I-opened	0.609
SM-C-R	SM-I-opened	0.819
SM-C-R	SM-I-opened	0.848
SM-C-R	SM-I-opened	0.774
SM-C-R	SM-I-opened	0.829
SM-C-S	SM-C-S	0.872
SM-C-S	SM-C-S	0.955
SM-C-S	SM-C-S	0.869
SM-C-S	SM-C-S	0.868
SM-C-S	SM-C-S	0.872
SM-C-S	SM-C-S	0.879
SM-C-S	SM-C-S	0.905
SM-C-S	SM-C-S	0.781
SM-C-S	SM-C-S	0.955
SM-C-S	SM-C-S	0.879
SM-C-S	SM-C-S	0.834
SM-C-S	SM-C-S	0.853
SM-C-S	SM-C-S	0.869
SM-C-S	SM-C-S	0.905
SM-C-S	SM-C-S	0.834
SM-C-S	SM-C-S	0.817
SM-C-S	SM-C-S	0.868
SM-C-S	SM-C-S	0.781
SM-C-S	SM-C-S	0.853
SM-C-S	SM-C-S	0.817
SM-C-S	SM-I-closed	0.859
SM-C-S	SM-I-closed	0.837
SM-C-S	SM-I-closed	0.946
SM-C-S	SM-I-closed	0.877
SM-C-S	SM-I-closed	0.896
SM-C-S	SM-I-closed	0.921
SM-C-S	SM-I-closed	0.849
SM-C-S	SM-I-closed	0.897
SM-C-S	SM-I-closed	0.863
SM-C-S	SM-I-closed	0.778
SM-C-S	SM-I-closed	0.755
SM-C-S	SM-I-closed	0.861
SM-C-S	SM-I-closed	0.836
SM-C-S	SM-I-closed	0.823
SM-C-S	SM-I-closed	0.917
SM-C-S	SM-I-closed	0.847
SM-C-S	SM-I-closed	0.862
SM-C-S	SM-I-closed	0.899
SM-C-S	SM-I-closed	0.823
SM-C-S	SM-I-closed	0.866
SM-C-S	SM-I-closed	0.867
SM-C-S	SM-I-closed	0.809
SM-C-S	SM-I-closed	0.767
SM-C-S	SM-I-closed	0.865
SM-C-S	SM-I-closed	0.698
SM-C-S	SM-I-closed	0.745
SM-C-S	SM-I-closed	0.799
SM-C-S	SM-I-closed	0.938
SM-C-S	SM-I-closed	0.918
SM-C-S	SM-I-closed	0.861
SM-C-S	SM-I-opened	0.765
SM-C-S	SM-I-opened	0.646
SM-C-S	SM-I-opened	0.869
SM-C-S	SM-I-opened	0.93
SM-C-S	SM-I-opened	0.872
SM-C-S	SM-I-opened	0.903
SM-C-S	SM-I-opened	0.868
SM-C-S	SM-I-opened	0.765
SM-C-S	SM-I-opened	0.833
SM-C-S	SM-I-opened	0.799
SM-C-S	SM-I-opened	0.895
SM-C-S	SM-I-opened	0.892
SM-C-S	SM-I-opened	0.768
SM-C-S	SM-I-opened	0.616
SM-C-S	SM-I-opened	0.86
SM-C-S	SM-I-opened	0.926
SM-C-S	SM-I-opened	0.844
SM-C-S	SM-I-opened	0.906
SM-C-S	SM-I-opened	0.857
SM-C-S	SM-I-opened	0.8
SM-C-S	SM-I-opened	0.835
SM-C-S	SM-I-opened	0.817
SM-C-S	SM-I-opened	0.9
SM-C-S	SM-I-opened	0.861
SM-C-S	SM-I-opened	0.777
SM-C-S	SM-I-opened	0.626
SM-C-S	SM-I-opened	0.861
SM-C-S	SM-I-opened	0.867
SM-C-S	SM-I-opened	0.769
SM-C-S	SM-I-opened	0.799
SM-I-closed	SM-I-closed	0.75
SM-I-closed	SM-I-closed	0.939
SM-I-closed	SM-I-closed	0.739
SM-I-closed	SM-I-closed	0.799
SM-I-closed	SM-I-closed	0.863
SM-I-closed	SM-I-closed	0.75
SM-I-closed	SM-I-closed	0.787
SM-I-closed	SM-I-closed	0.735
SM-I-closed	SM-I-closed	0.689
SM-I-closed	SM-I-closed	0.854
SM-I-closed	SM-I-closed	0.939
SM-I-closed	SM-I-closed	0.787
SM-I-closed	SM-I-closed	0.832
SM-I-closed	SM-I-closed	0.874
SM-I-closed	SM-I-closed	0.898
SM-I-closed	SM-I-closed	0.739
SM-I-closed	SM-I-closed	0.735
SM-I-closed	SM-I-closed	0.832
SM-I-closed	SM-I-closed	0.948
SM-I-closed	SM-I-closed	0.889
SM-I-closed	SM-I-closed	0.799
SM-I-closed	SM-I-closed	0.689
SM-I-closed	SM-I-closed	0.874
SM-I-closed	SM-I-closed	0.948
SM-I-closed	SM-I-closed	0.888
SM-I-closed	SM-I-closed	0.863
