CpdClass1	CpdClass2	BioSim_median	BioSim_median_absolute_deviation
QN-C-R	QN-C-R	0.782	0.1186080000000001
QN-C-R	QN-C-S	0.714	0.14455350000000003
QN-C-R	QN-I	0.6605000000000001	0.1363992000000002
QN-C-S	QN-C-S	0.75	0.08006040000000007
QN-C-S	QN-I	0.7264999999999999	0.11490150000000002
QN-I	QN-I	0.708	0.09488640000000008
