CpdClass1	CpdClass2	BioSim
QN-C-R	QN-C-R	0.577
QN-C-R	QN-C-R	0.537
QN-C-R	QN-C-R	0.491
QN-C-R	QN-C-R	0.579
QN-C-R	QN-C-R	0.663
QN-C-R	QN-C-R	0.845
QN-C-R	QN-C-R	0.818
QN-C-R	QN-C-R	0.778
QN-C-R	QN-C-R	0.811
QN-C-R	QN-C-R	0.801
QN-C-R	QN-C-R	0.843
QN-C-R	QN-C-R	0.765
QN-C-R	QN-C-R	0.841
QN-C-R	QN-C-R	0.767
QN-C-R	QN-C-R	0.851
QN-C-R	QN-C-R	0.822
QN-C-R	QN-C-R	0.786
QN-C-R	QN-C-R	0.834
QN-C-R	QN-C-R	0.663
QN-C-R	QN-C-R	0.596
QN-C-R	QN-C-R	0.702
QN-C-R	QN-C-R	0.361
QN-C-R	QN-C-R	0.622
QN-C-R	QN-C-R	0.358
QN-C-R	QN-C-R	0.498
QN-C-R	QN-C-R	0.682
QN-C-R	QN-C-R	0.409
QN-C-R	QN-C-R	0.742
QN-C-R	QN-C-R	0.525
QN-C-R	QN-C-R	0.489
QN-C-R	QN-C-R	0.437
QN-C-R	QN-C-R	0.531
QN-C-R	QN-C-R	0.845
QN-C-R	QN-C-R	0.596
QN-C-R	QN-C-S	0.866
QN-C-R	QN-C-S	0.833
QN-C-R	QN-C-S	0.891
QN-C-R	QN-C-S	0.907
QN-C-R	QN-C-S	0.894
QN-C-R	QN-C-S	0.695
QN-C-R	QN-C-S	0.753
QN-C-R	QN-C-S	0.668
QN-C-R	QN-C-S	0.792
QN-C-R	QN-C-S	0.491
QN-C-R	QN-C-S	0.457
QN-C-R	QN-C-S	0.303
QN-C-R	QN-C-S	0.895
QN-C-R	QN-C-S	0.883
QN-C-R	QN-C-S	0.872
QN-C-R	QN-C-S	0.683
QN-C-R	QN-C-S	0.675
QN-C-R	QN-C-S	0.582
QN-C-R	QN-C-S	0.751
QN-C-R	QN-C-S	0.623
QN-C-R	QN-C-S	0.783
QN-C-R	QN-C-S	0.5
QN-C-R	QN-C-S	0.451
QN-C-R	QN-C-S	0.279
QN-C-R	QN-C-S	0.872
QN-C-R	QN-C-S	0.774
QN-C-R	QN-C-S	0.847
QN-C-R	QN-C-S	0.742
QN-C-R	QN-C-S	0.667
QN-C-R	QN-C-S	0.699
QN-C-R	QN-C-S	0.812
QN-C-R	QN-C-S	0.936
QN-C-R	QN-C-S	0.855
QN-C-R	QN-C-S	0.749
QN-C-R	QN-C-S	0.776
QN-C-R	QN-C-S	0.675
QN-C-R	QN-C-S	0.826
QN-C-R	QN-C-S	0.716
QN-C-R	QN-C-S	0.828
