CpdClass1	CpdClass2	BioSim
C-I_1	QN-I	0.284
C-I_1	QN-I	0.283
C-I_1	QN-I	0.486
C-I_1	QN-I	0.281
C-I_1	QN-I	0.487
C-I_1	QN-I	0.128
C-I_1	QN-I	0.412
C-I_1	QN-I	0.424
C-I_1	QN-I	0.657
C-I_1	QN-I	0.501
C-I_1	QN-I	0.567
C-I_1	QN-I	0.288
C-I_1	QN-I	0.0
C-I_1	QN-I	0.044
C-I_1	QN-I	0.251
C-I_1	QN-I	0.087
C-I_1	QN-I	0.137
C-I_1	QN-I	0.0
C-I_1	QN-I	0.364
C-I_1	QN-I	0.241
C-I_1	QN-I	0.595
C-I_1	QN-I	0.296
C-I_1	QN-I	0.372
C-I_1	QN-I	0.117
C-I_1	QN-I	0.508
C-I_1	QN-I	0.319
C-I_1	QN-I	0.608
C-I_1	QN-I	0.367
C-I_1	QN-I	0.456
C-I_1	QN-I	0.245
C-I_1	QN-I	0.484
C-I_1	QN-I	0.261
C-I_1	QN-I	0.58
C-I_1	QN-I	0.347
C-I_1	QN-I	0.402
C-I_1	QN-I	0.185
C-I_1	QN-I	0.241
C-I_1	QN-I	0.334
C-I_1	QN-I	0.483
C-I_1	QN-I	0.229
C-I_1	QN-I	0.478
C-I_1	QN-I	0.128
C-I_1	QN-I	0.287
C-I_1	QN-I	0.558
C-I_1	QN-I	0.605
C-I_1	QN-I	0.38
C-I_1	QN-I	0.662
C-I_1	QN-I	0.347
C-I_1	QD-I	0.234
C-I_1	QD-I	0.412
C-I_1	QD-I	0.32
C-I_1	QD-I	0.361
C-I_1	QD-I	0.515
C-I_1	QD-I	0.444
C-I_1	QD-I	0.366
C-I_1	QD-I	0.472
C-I_1	QD-I	0.3
C-I_1	QD-I	0.286
C-I_1	QD-I	0.363
C-I_1	QD-I	0.586
C-I_1	QD-I	0.589
C-I_1	QD-I	0.573
C-I_1	QD-I	0.724
C-I_1	QD-I	0.605
C-I_1	QD-I	0.487
C-I_1	QD-I	0.608
C-I_1	QD-I	0.479
C-I_1	QD-I	0.48
C-I_1	QD-I	0.0
C-I_1	QD-I	0.169
C-I_1	QD-I	0.259
C-I_1	QD-I	0.241
C-I_1	QD-I	0.319
C-I_1	QD-I	0.19
C-I_1	QD-I	0.014
C-I_1	QD-I	0.203
C-I_1	QD-I	0.063
C-I_1	QD-I	0.079
C-I_1	QD-I	0.183
C-I_1	QD-I	0.448
C-I_1	QD-I	0.461
C-I_1	QD-I	0.417
C-I_1	QD-I	0.564
C-I_1	QD-I	0.532
C-I_1	QD-I	0.271
C-I_1	QD-I	0.385
C-I_1	QD-I	0.283
C-I_1	QD-I	0.199
C-I_1	QD-I	0.282
C-I_1	QD-I	0.499
C-I_1	QD-I	0.477
C-I_1	QD-I	0.519
C-I_1	QD-I	0.569
C-I_1	QD-I	0.563
C-I_1	QD-I	0.373
C-I_1	QD-I	0.487
C-I_1	QD-I	0.383
C-I_1	QD-I	0.29
C-I_1	QD-I	0.238
C-I_1	QD-I	0.484
C-I_1	QD-I	0.438
C-I_1	QD-I	0.447
C-I_1	QD-I	0.563
C-I_1	QD-I	0.538
C-I_1	QD-I	0.3
C-I_1	QD-I	0.409
C-I_1	QD-I	0.31
