CpdClass	Actives [%]
GF-I-1	100.0
GF-I-2	100.0
GF-THPI	100.0
QD-C-R	100.0
QD-C-S	100.0
QD-I	78.9
QN-C-R	92.9
QN-C-S	100.0
QN-I	95.5
SM-C-R	100.0
SM-C-S	100.0
SM-I-closed	100.0
SM-I-opened	100.0
