CpdClass1	CpdClass2	BioSim_median	BioSim_median_absolute_deviation
QD-C-R	QD-C-R	0.682	0.15270779999999998
QD-C-R	QD-C-S	0.6375	0.06745830000000014
QD-C-R	QD-I	0.6935	0.10748850000000001
QD-C-S	QD-C-S	0.783	0.10229940000000008
QD-C-S	QD-I	0.722	0.1097124000000001
QD-I	QD-I	0.7805	0.08747339999999999
