CpdClass1	CpdClass2	BioSim_median	BioSim_median_absolute_deviation
SM-P	SM-C-R	0.8505	0.05930399999999997
SM-P	SM-C-S	0.852	0.0785777999999999
SM-P	SM-I-closed	0.819	0.1126776000000001
SM-P	SM-I-opened	0.83	0.06375180000000005
