CpdClass1	CpdClass2	BioSim
NPs	QD-C-R	0.885
NPs	QD-C-R	0.9
NPs	QD-C-R	0.867
NPs	QD-C-R	0.85
NPs	QD-C-R	0.89
NPs	QD-C-R	0.814
NPs	QD-C-R	0.768
NPs	QD-C-R	0.875
NPs	QD-C-R	0.872
NPs	QD-C-R	0.683
NPs	QD-C-R	0.752
NPs	QD-C-R	0.803
NPs	QD-C-R	0.804
NPs	QD-C-R	0.796
NPs	QD-C-R	0.764
NPs	QD-C-S	0.818
NPs	QD-C-S	0.249
NPs	QD-C-S	0.368
NPs	QD-C-S	0.673
NPs	QD-C-S	0.73
NPs	QD-C-S	0.75
NPs	QD-C-S	0.784
NPs	QD-C-S	0.784
NPs	QD-C-S	0.836
NPs	QD-C-S	0.769
NPs	QD-C-S	0.654
NPs	QD-C-S	0.806
NPs	QD-C-S	0.2
NPs	QD-C-S	0.28
NPs	QD-C-S	0.587
NPs	QD-C-S	0.615
NPs	QD-C-S	0.628
NPs	QD-C-S	0.753
NPs	QD-C-S	0.749
NPs	QD-C-S	0.853
NPs	QD-C-S	0.802
NPs	QD-C-S	0.572
NPs	QD-C-S	0.815
NPs	QD-C-S	0.202
NPs	QD-C-S	0.283
NPs	QD-C-S	0.608
NPs	QD-C-S	0.649
NPs	QD-C-S	0.675
NPs	QD-C-S	0.779
NPs	QD-C-S	0.785
NPs	QD-C-S	0.852
NPs	QD-C-S	0.769
NPs	QD-C-S	0.59
NPs	QD-C-S	0.827
NPs	QD-C-S	0.394
NPs	QD-C-S	0.523
NPs	QD-C-S	0.76
NPs	QD-C-S	0.773
NPs	QD-C-S	0.774
NPs	QD-C-S	0.795
NPs	QD-C-S	0.807
NPs	QD-C-S	0.835
NPs	QD-C-S	0.786
NPs	QD-C-S	0.719
NPs	QD-I	0.91
NPs	QD-I	0.822
NPs	QD-I	0.738
NPs	QD-I	0.719
NPs	QD-I	0.744
NPs	QD-I	0.73
NPs	QD-I	0.769
NPs	QD-I	0.763
NPs	QD-I	0.854
NPs	QD-I	0.717
NPs	QD-I	0.861
NPs	QD-I	0.799
NPs	QD-I	0.72
NPs	QD-I	0.764
NPs	QD-I	0.725
NPs	QD-I	0.7
NPs	QD-I	0.829
NPs	QD-I	0.82
NPs	QD-I	0.884
NPs	QD-I	0.803
NPs	QD-I	0.884
NPs	QD-I	0.822
NPs	QD-I	0.743
NPs	QD-I	0.756
NPs	QD-I	0.762
NPs	QD-I	0.75
NPs	QD-I	0.832
NPs	QD-I	0.814
NPs	QD-I	0.881
NPs	QD-I	0.773
NPs	QD-I	0.786
NPs	QD-I	0.793
NPs	QD-I	0.688
NPs	QD-I	0.694
NPs	QD-I	0.69
NPs	QD-I	0.687
NPs	QD-I	0.657
NPs	QD-I	0.688
NPs	QD-I	0.772
NPs	QD-I	0.618
NPs	QN-C-R	0.601
NPs	QN-C-R	0.581
NPs	QN-C-R	0.45
NPs	QN-C-R	0.566
NPs	QN-C-R	0.427
NPs	QN-C-R	0.513
NPs	QN-C-R	0.603
