CpdClass1	CpdClass2	BioSim
GF-I-1	GF-I-1	0.752
GF-I-1	GF-I-1	0.755
GF-I-1	GF-I-1	0.687
GF-I-1	GF-I-1	0.783
GF-I-1	GF-I-1	0.618
GF-I-1	GF-I-1	0.485
GF-I-1	GF-I-1	0.818
GF-I-1	GF-I-1	0.605
GF-I-1	GF-I-1	0.754
GF-I-1	GF-I-1	0.684
GF-I-1	GF-I-1	0.884
GF-I-1	GF-I-1	0.724
GF-I-1	GF-I-1	0.902
GF-I-1	GF-I-1	0.842
GF-I-1	GF-I-1	0.63
GF-I-1	GF-I-1	0.859
GF-I-1	GF-I-1	0.819
GF-I-1	GF-I-1	0.646
GF-I-1	GF-I-1	0.508
GF-I-1	GF-I-1	0.612
GF-I-1	GF-I-1	0.78
GF-I-1	GF-I-1	0.779
GF-I-1	GF-I-1	0.698
GF-I-1	GF-I-1	0.618
GF-I-1	GF-I-1	0.588
GF-I-1	GF-I-1	0.836
GF-I-1	GF-I-1	0.623
GF-I-1	GF-I-1	0.71
GF-I-1	GF-I-1	0.866
GF-I-1	GF-I-1	0.644
GF-I-1	GF-I-1	0.585
GF-I-1	GF-I-1	0.62
GF-I-1	GF-I-1	0.846
GF-I-1	GF-I-1	0.428
GF-I-1	GF-I-1	0.765
GF-I-1	GF-I-1	0.751
GF-I-1	GF-I-1	0.692
GF-I-1	GF-I-1	0.813
GF-I-1	GF-I-1	0.454
GF-I-1	GF-I-1	0.667
GF-I-1	GF-I-1	0.494
GF-I-1	GF-I-1	0.655
GF-I-1	GF-I-1	0.485
GF-I-1	GF-I-1	0.588
GF-I-1	GF-I-1	0.599
GF-I-1	GF-I-1	0.539
GF-I-1	GF-I-1	0.473
GF-I-1	GF-I-1	0.539
GF-I-1	GF-I-1	0.524
GF-I-1	GF-I-1	0.263
GF-I-1	GF-I-1	0.493
GF-I-1	GF-I-1	0.597
GF-I-1	GF-I-1	0.796
GF-I-1	GF-I-1	0.814
GF-I-1	GF-I-1	0.767
GF-I-1	GF-I-1	0.722
GF-I-1	GF-I-1	0.434
GF-I-1	GF-I-1	0.717
GF-I-1	GF-I-1	0.769
GF-I-1	GF-I-1	0.817
GF-I-1	GF-I-1	0.79
GF-I-1	GF-I-1	0.818
GF-I-1	GF-I-1	0.836
GF-I-1	GF-I-1	0.599
GF-I-1	GF-I-1	0.531
GF-I-1	GF-I-1	0.823
GF-I-1	GF-I-1	0.801
GF-I-1	GF-I-1	0.815
GF-I-1	GF-I-1	0.658
GF-I-1	GF-I-1	0.795
GF-I-1	GF-I-1	0.876
GF-I-1	GF-I-1	0.536
GF-I-1	GF-I-1	0.603
GF-I-1	GF-I-1	0.597
GF-I-1	GF-I-1	0.666
GF-I-1	GF-I-1	0.542
GF-I-1	GF-I-1	0.584
GF-I-1	GF-I-1	0.688
GF-I-1	GF-I-1	0.426
GF-I-1	GF-I-1	0.614
GF-I-1	GF-I-1	0.605
GF-I-1	GF-I-1	0.623
GF-I-1	GF-I-1	0.539
GF-I-1	GF-I-1	0.531
GF-I-1	GF-I-1	0.528
GF-I-1	GF-I-1	0.719
GF-I-1	GF-I-1	0.542
GF-I-1	GF-I-1	0.694
GF-I-1	GF-I-1	0.558
GF-I-1	GF-I-1	0.684
GF-I-1	GF-I-1	0.806
GF-I-1	GF-I-1	0.661
GF-I-1	GF-I-1	0.566
GF-I-1	GF-I-1	0.577
GF-I-1	GF-I-1	0.258
GF-I-1	GF-I-1	0.728
GF-I-1	GF-I-1	0.722
GF-I-1	GF-I-1	0.679
GF-I-1	GF-I-1	0.723
GF-I-1	GF-I-1	0.754
GF-I-1	GF-I-1	0.71
GF-I-1	GF-I-1	0.473
GF-I-1	GF-I-1	0.823
GF-I-1	GF-I-1	0.528
GF-I-1	GF-I-1	0.74
GF-I-1	GF-I-1	0.696
GF-I-1	GF-I-1	0.754
GF-I-1	GF-I-1	0.703
GF-I-1	GF-I-1	0.742
GF-I-1	GF-I-1	0.728
GF-I-1	GF-I-1	0.803
GF-I-1	GF-I-1	0.68
GF-I-1	GF-I-1	0.684
GF-I-1	GF-I-1	0.459
GF-I-1	GF-I-1	0.733
GF-I-1	GF-I-1	0.766
GF-I-1	GF-I-1	0.707
GF-I-1	GF-I-1	0.671
GF-I-1	GF-I-1	0.684
GF-I-1	GF-I-1	0.866
GF-I-1	GF-I-1	0.539
GF-I-1	GF-I-1	0.801
GF-I-1	GF-I-1	0.719
GF-I-1	GF-I-1	0.74
GF-I-1	GF-I-1	0.677
