NP class probability
0.72
0.31
0.27
0.21
0.74
0.77
0.86
0.76
0.76
0.74
0.72
0.49
0.21
0.74
0.77
0.66
0.62
0.78
0.74
0.74
0.76
0.76
0.29
0.72
0.74
0.27
0.26
0.29
0.31
0.27
0.28
0.17
0.17
0.86
0.88
0.34
0.34
0.3
0.84
0.28
0.24
0.51
0.87
0.34
0.88
0.28
0.88
0.84
0.87
0.84
0.27
0.3
0.34
0.84
0.5
0.84
0.84
0.51
0.95
0.93
0.93
0.97
0.97
0.97
0.97
0.97
0.97
0.31
0.66
0.38
0.44
0.95
0.44
0.87
0.75
0.95
0.83
0.87
0.9
0.87
0.83
0.44
0.39
0.83
0.48
0.87
0.44
0.85
0.83
0.46
0.41
0.38
0.83
0.43
0.86
0.91
0.96
0.91
0.89
0.39
0.91
0.62
0.39
0.9
0.86
0.86
0.93
0.45
0.45
0.47
0.45
0.45
0.47
0.29
0.41
0.45
0.45
0.33
0.31
0.45
0.45
0.47
0.45
0.47
0.33
0.33
0.33
0.33
0.45
0.33
0.37
0.33
0.37
0.37
0.45
0.45
0.19
0.21
0.43
0.43
0.46
0.43
0.46
0.38
0.43
0.35
0.37
0.37
0.43
0.35
0.35
0.43
0.35
0.35
0.39
0.39
0.43
0.39
0.39
0.39
0.39
0.39
0.39
0.39
0.32
0.43
0.39
0.35
