SMILES	Molecule Name	Error/Warning	NP class probability
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc(C(C)C)cc12)C3	99	None	0.89
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc(Cl)cc12)C3	100	None	0.39
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2cc(C)cc(C)c12)C3	101	None	0.91
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c(n(Cc2ccccc2)c2ccccc12)C3	102	None	0.62
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2c(Cl)ccc(Cl)c12)C3	103	None	0.39
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc(Oc4ccccc4)cc12)C3	104	None	0.9
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc4ccccc4c12)C3	105	None	0.86
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2c1ccc1ccccc12)C3	106	None	0.86
COc1ccc2c(c1O)C13CCN(C)C(C2)C1Cc1c([nH]c2ccc(OC(C)C)cc12)C3	107	None	0.93
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccccc34)CC1C)C2=O	108	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(C)cc34)CC1C)C2=O	109	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(C(C)C)cc34)CC1C)C2=O	110	None	0.47
COc1ccc2[nH]c3c(c2c1)CC1(Oc2c(Cl)c(OC)cc(OC)c2C1=O)C(C)C3	111	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(Oc5ccccc5)cc34)CC1C)C2=O	112	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(OC(C)C)cc34)CC1C)C2=O	113	None	0.47
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(OCc5ccccc5)cc34)CC1C)C2=O	114	None	0.29
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(-c5ccccc5)cc34)CC1C)C2=O	115	None	0.41
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(I)cc34)CC1C)C2=O	116	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(Cl)cc34)CC1C)C2=O	117	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(F)cc34)CC1C)C2=O	118	None	0.33
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc(OC(F)(F)F)cc34)CC1C)C2=O	119	None	0.31
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(C)cccc34)CC1C)C2=O	120	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(C)cc(C)cc34)CC1C)C2=O	121	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(C)ccc(C)c34)CC1C)C2=O	122	None	0.47
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(C)c(C)ccc34)CC1C)C2=O	123	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4cc(C)cc(C)c34)CC1C)C2=O	124	None	0.47
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(F)cc(F)cc34)CC1C)C2=O	125	None	0.33
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(C)ccc(F)c34)CC1C)C2=O	126	None	0.33
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4cc(F)cc(F)c34)CC1C)C2=O	127	None	0.33
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(F)ccc(F)c34)CC1C)C2=O	128	None	0.33
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4cc(Cl)cc(Cl)c34)CC1C)C2=O	129	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(Cl)ccc(F)c34)CC1C)C2=O	130	None	0.33
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(F)ccc(Br)c34)CC1C)C2=O	131	None	0.37
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(F)cc(Cl)cc34)CC1C)C2=O	132	None	0.33
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(F)cc(Br)cc34)CC1C)C2=O	133	None	0.37
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c(F)cc(Br)c(F)c34)CC1C)C2=O	134	None	0.37
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4c3ccc3ccccc34)CC1C)C2=O	135	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c([nH]c4ccc5ccccc5c34)CC1C)C2=O	136	None	0.45
COc1cc(OC)c2c(c1Cl)OC1(Cc3c(n(-c4ccccc4)c4ccccc34)CC1C)C2=O	137	None	0.19
COc1cc(OC)c2c(c1Cl)OC1(Cc3c(n(Cc4ccccc4)c4ccccc34)CC1C)C2=O	138	None	0.21
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccccc4c3C1C)C2=O	139	None	0.43
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(C)cc4c3C1C)C2=O	140	None	0.43
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(C(C)C)cc4c3C1C)C2=O	141	None	0.46
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(Oc5ccccc5)cc4c3C1C)C2=O	142	None	0.43
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(OC(C)C)cc4c3C1C)C2=O	143	None	0.46
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(-c5ccccc5)cc4c3C1C)C2=O	144	None	0.38
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(Cl)cc4c3C1C)C2=O	145	None	0.43
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(F)cc4c3C1C)C2=O	146	None	0.35
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(OC(F)(F)F)cc4c3C1C)C2=O	147	None	0.37
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4ccc(C(F)(F)F)cc4c3C1C)C2=O	148	None	0.37
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4c(C)c(C)ccc4c3C1C)C2=O	149	None	0.43
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4c(C)ccc(F)c4c3C1C)C2=O	150	None	0.35
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4cc(F)cc(F)c4c3C1C)C2=O	151	None	0.35
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4cc(Cl)cc(Cl)c4c3C1C)C2=O	152	None	0.43
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4c(Cl)ccc(F)c4c3C1C)C2=O	153	None	0.35
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4c(F)cc(Cl)cc4c3C1C)C2=O	154	None	0.35
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4c(F)cc(Br)cc4c3C1C)C2=O	155	None	0.39
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4c(F)cc(Br)c(F)c4c3C1C)C2=O	156	None	0.39
COc1cc(OC)c2c(c1Cl)OC1(CCc3[nH]c4c(ccc5ccccc54)c3C1C)C2=O	157	None	0.43
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3ccccc13)C2=O	158	None	0.39
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3cccc(C)c13)C2=O	159	None	0.39
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3cccc(Cl)c13)C2=O	160	None	0.39
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3ccc(C)cc13)C2=O	161	None	0.39
COc1ccc2[nH]c3c(c2c1)CCOC31CCC2(Oc3c(Cl)c(OC)cc(OC)c3C2=O)C(C)C1	162	None	0.39
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3ccc(Br)cc13)C2=O	163	None	0.39
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3ccc(Cl)cc13)C2=O	164	None	0.39
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3ccc(F)cc13)C2=O	165	None	0.32
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3cc(C(C)C)ccc13)C2=O	166	None	0.43
COc1cc(OC)c2c(c1Cl)OC1(CCC3(CC1C)OCCc1c3[nH]c3cc(Cl)ccc13)C2=O	167	None	0.39
CCc1cccc2c3c([nH]c12)C1(CCC2(Oc4c(Cl)c(OC)cc(OC)c4C2=O)C(C)C1)OCC3	168	None	0.35
