	Chembl_Id
270	CHEMBL1077092
271	CHEMBL1077093
272	CHEMBL1077094
273	CHEMBL1077096
274	CHEMBL1077097
275	CHEMBL1077100
276	CHEMBL1077102
277	CHEMBL1077103
278	CHEMBL1077104
279	CHEMBL1077108
280	CHEMBL1077113
281	CHEMBL1077114
282	CHEMBL1077115
283	CHEMBL1077123
284	CHEMBL1077130
285	CHEMBL1077133
286	CHEMBL1077145
287	CHEMBL1077147
288	CHEMBL1077148
289	CHEMBL1077149
290	CHEMBL1077159
291	CHEMBL1077254
292	CHEMBL1077259
293	CHEMBL1077309
294	CHEMBL1077310
295	CHEMBL1077378
296	CHEMBL1077379
297	CHEMBL1077380
298	CHEMBL1077415
299	CHEMBL1077440
300	CHEMBL1077441
301	CHEMBL1077449
302	CHEMBL1077450
303	CHEMBL1077451
304	CHEMBL1077452
305	CHEMBL1077453
306	CHEMBL1077457
307	CHEMBL1077463
308	CHEMBL1077464
309	CHEMBL1077465
310	CHEMBL1077466
311	CHEMBL1077467
312	CHEMBL1077477
313	CHEMBL1077478
314	CHEMBL1077479
315	CHEMBL1077480
316	CHEMBL1077481
317	CHEMBL1077482
318	CHEMBL1077483
319	CHEMBL1077490
320	CHEMBL1077491
321	CHEMBL1077503
322	CHEMBL1077519
323	CHEMBL1077540
324	CHEMBL1077541
325	CHEMBL1077542
326	CHEMBL1077543
327	CHEMBL1077544
328	CHEMBL1077545
329	CHEMBL1077547
330	CHEMBL1077548
331	CHEMBL1077549
332	CHEMBL1077550
333	CHEMBL1077551
334	CHEMBL1077552
335	CHEMBL1077553
336	CHEMBL1077554
337	CHEMBL1077555
338	CHEMBL1077557
339	CHEMBL1077558
340	CHEMBL1077559
341	CHEMBL1077563
342	CHEMBL1077570
343	CHEMBL1077577
344	CHEMBL1077595
345	CHEMBL1077602
346	CHEMBL1077604
347	CHEMBL1077605
348	CHEMBL1077606
349	CHEMBL1077607
350	CHEMBL1077608
351	CHEMBL1077609
352	CHEMBL1077613
353	CHEMBL1077615
354	CHEMBL1077616
355	CHEMBL1077622
356	CHEMBL1077623
357	CHEMBL1077624
358	CHEMBL1077625
359	CHEMBL1077626
360	CHEMBL1077627
